date,clicks,impressions,ctr,position
2025-04-18,16,63,0.25396825396825395,5.031746031746032
2025-04-19,8,74,0.10810810810810811,4.54054054054054
2025-04-20,18,79,0.22784810126582278,8.265822784810126
2025-04-21,19,106,0.1792452830188679,5.377358490566038
2025-04-22,8,84,0.09523809523809523,9.964285714285714
2025-04-23,11,91,0.12087912087912088,6.142857142857143
2025-04-24,17,81,0.20987654320987653,4.728395061728396
2025-04-25,18,94,0.19148936170212766,5.74468085106383
2025-04-26,21,86,0.2441860465116279,15.883720930232558
2025-04-27,28,112,0.25,9.901785714285714
2025-04-28,21,118,0.17796610169491525,9.084745762711865
2025-04-29,14,85,0.16470588235294117,13.635294117647058
2025-04-30,12,78,0.15384615384615385,15.987179487179487
2025-05-01,17,110,0.15454545454545454,13.809090909090909
2025-05-02,15,93,0.16129032258064516,12.580645161290322
2025-05-03,7,127,0.05511811023622047,11.803149606299213
2025-05-04,15,147,0.10204081632653061,10.312925170068027
2025-05-05,20,97,0.20618556701030927,7.793814432989691
2025-05-06,8,79,0.10126582278481013,15.291139240506329
2025-05-07,12,76,0.15789473684210525,12.81578947368421
2025-05-08,16,83,0.1927710843373494,15.662650602409638
2025-05-09,14,99,0.1414141414141414,9.97979797979798
2025-05-10,20,110,0.18181818181818182,9.936363636363636
2025-05-11,18,154,0.11688311688311688,8.603896103896105
2025-05-12,22,125,0.176,17.256
2025-05-13,18,122,0.14754098360655737,8.754098360655739
2025-05-14,26,120,0.21666666666666667,7.025
2025-05-15,15,104,0.14423076923076922,10.009615384615385
2025-05-16,24,139,0.17266187050359713,6.798561151079137
2025-05-17,23,137,0.1678832116788321,10.81021897810219
2025-05-18,30,149,0.20134228187919462,8.308724832214764
2025-05-19,26,152,0.17105263157894737,9.927631578947368
2025-05-20,17,115,0.14782608695652175,11.695652173913043
2025-05-21,16,130,0.12307692307692308,17.807692307692307
2025-05-22,20,125,0.16,17.296
2025-05-23,17,144,0.11805555555555555,12.715277777777779
2025-05-24,27,149,0.18120805369127516,17.268456375838927
2025-05-25,36,236,0.15254237288135594,11.25
2025-05-26,17,163,0.10429447852760736,9.975460122699387
2025-05-27,31,158,0.1962025316455696,11.936708860759493
2025-05-28,16,156,0.10256410256410256,18.153846153846153
2025-05-29,16,124,0.12903225806451613,18.201612903225808
2025-05-30,17,150,0.11333333333333333,15.613333333333333
2025-05-31,12,134,0.08955223880597014,18.91044776119403
2025-06-01,19,182,0.1043956043956044,19.208791208791208
2025-06-02,22,170,0.12941176470588237,19.211764705882352
2025-06-03,15,131,0.11450381679389313,26.68702290076336
2025-06-04,12,120,0.1,26.2
2025-06-05,23,177,0.12994350282485875,20.050847457627118
2025-06-06,18,156,0.11538461538461539,21.314102564102566
2025-06-07,25,186,0.13440860215053763,19.053763440860216
2025-06-08,33,219,0.1506849315068493,12.634703196347031
2025-06-09,29,198,0.14646464646464646,12.318181818181818
2025-06-10,23,173,0.1329479768786127,17.196531791907514
2025-06-11,35,158,0.22151898734177214,14.99367088607595
2025-06-12,21,133,0.15789473684210525,19.48872180451128
2025-06-13,24,160,0.15,13.23125
2025-06-14,21,163,0.12883435582822086,11.748466257668712
2025-06-15,32,186,0.17204301075268819,11.973118279569892
2025-06-16,20,141,0.14184397163120568,17.19148936170213
2025-06-17,21,154,0.13636363636363635,15.25974025974026
2025-06-18,14,133,0.10526315789473684,12.345864661654135
2025-06-19,29,172,0.1686046511627907,13.348837209302326
2025-06-20,13,129,0.10077519379844961,13.844961240310077
2025-06-21,27,177,0.15254237288135594,12.384180790960452
2025-06-22,26,199,0.1306532663316583,11.135678391959798
2026-06-18,21,315,0.06666666666666667,9.326984126984128
2026-06-19,19,215,0.08837209302325581,9.35813953488372
